MM,YYYY,Date,HRS,MIN,Nest_Type,Nest_Disturbance,Y,X
1,2017,1/20/2017,,,Nest,Secure,-3.071946,126.567458
1,2017,1/21/2017,,,False_Crawls,Non_Nesting,-3.06922,126.616819
1,2017,1/22/2017,,,Nest,Predated,-3.071915,126.567566
1,2017,1/22/2017,,,Nest,Predated,-3.07237,126.554436
1,2017,1/22/2017,,,Nest,Predated,-3.072406,126.554967
1,2017,1/22/2017,,,Nest,Lost,-3.072024,126.565481
1,2017,1/22/2017,,,Nest,Lost,-3.072056,126.562823
1,2017,1/22/2017,,,False_Crawls,Non_Nesting,-3.069097,126.619488
1,2017,1/23/2017,,,Nest,Predated,-3.072393,126.553953
1,2017,1/23/2017,,,Nest,Predated,-3.07223,126.551894
1,2017,1/23/2017,,,Nest,Predated,-3.072192,126.548081
1,2017,1/23/2017,,,Nest,Lost,-3.072433,126.554173
1,2017,1/23/2017,,,Nest,Lost,-3.072339,126.553865
1,2017,1/23/2017,,,Nest,Lost,-3.072387,126.549769
1,2017,1/23/2017,,,Nest,Lost,-3.072005,126.564313
1,2017,1/23/2017,,,Nest,Lost,-3.072198,126.559683
1,2017,1/24/2017,,,Nest,Lost,-3.072382,126.55365
1,2017,1/25/2017,3,0,Nesting_Individu,Lost,-3.072187,126.551986
1,2017,1/26/2017,,,Nest,Lost,-3.071965,126.566001
1,2017,1/28/2017,,,Nest,Lost,-3.071985,126.564268
1,2017,1/29/2017,,,Nest,Lost,-3.072009,126.566735
1,2017,1/29/2017,,,Nest,Lost,-3.072454,126.553786
1,2017,1/29/2017,,,Nest,Lost,-3.07243,126.554357
1,2017,1/30/2017,,,Nest,Secure,-3.06563,126.606623
1,2017,1/30/2017,1,28,Nesting_Individu,Lost,-3.071998,126.565692
1,2017,1/30/2017,2,3,Nesting_Individu,Lost,-3.07246,126.553962
1,2017,1/31/2017,,,Nest,Lost,-3.070795,126.574655
1,2017,1/31/2017,,,Nest,Lost,-3.071964,126.56319
1,2017,1/31/2017,,,Nest,Lost,-3.0719,126.563361
1,2017,1/31/2017,,,Nest,Lost,-3.071127,126.572537
2,2017,2/1/2017,,,Nest,Secure,-3.071773,126.564237
2,2017,2/1/2017,,,Nest,Secure,-3.06901,126.618661
2,2017,2/1/2017,,,Nest,Secure,-3.072219,126.550815
2,2017,2/1/2017,,,Nest,Secure,-3.072364,126.550901
2,2017,2/1/2017,,,Nest,Lost,-3.072328,126.550931
2,2017,2/1/2017,,,Nest,Lost,-3.072341,126.551034
2,2017,2/1/2017,,,False_Crawls,Non_Nesting,-3.071957,126.567876
2,2017,2/1/2017,,,False_Crawls,Non_Nesting,-3.072316,126.551145
2,2017,2/1/2017,,,False_Crawls,Non_Nesting,-3.071636,126.569537
2,2017,2/2/2017,,,Nest,Lost,-3.072143,126.548728
2,2017,2/2/2017,,,Nest,Lost,-3.072354,126.549636
2,2017,2/2/2017,3,0,False_Crawls,Non_Nesting,-3.068818,126.616929
2,2017,2/3/2017,,,False_Crawls,Non_Nesting,-3.072441,126.543069
2,2017,2/4/2017,4,7,False_Crawls,Non_Nesting,-3.072045,126.560857
2,2017,2/5/2017,,,Nest,Secure,-3.072326,126.550854
2,2017,2/5/2017,,,Nest,Secure,-3.072386,126.553609
2,2017,2/6/2017,,,Nest,Secure,-3.072308,126.553272
2,2017,2/6/2017,,,False_Crawls,Non_Nesting,-3.072288,126.548379
2,2017,2/7/2017,,,Nest,Lost,-3.071828,126.5638
2,2017,2/7/2017,,,Nest,Lost,-3.072442,126.541115
2,2017,2/9/2017,,,Nest,Secure,-3.068086,126.611613
